agreement_from,end_date,title,entity_code,person_indication,agreement,person,amount,other_party_of_agreement,start_date,description
Rašytinė,,UAB BIMBO VILNIUS,125764722,Sutuoktinis,Vertybinių popierių sandoriai,GEDIMINAS VAGNORIUS,48639,"Juridiniai asmenys, registruoti Lietuvoje",2001-10-22,AKCIJŲ ĮSIGYJIMAS
Rašytinė,,UAB BIMBO VILNIUS,125764722,Sutuoktinis,Paskola (suteikta),GEDIMINAS VAGNORIUS,56970,"Juridiniai asmenys, registruoti Lietuvoje",2003-04-07,AKCININKO PASKOLA
Notarinė,2012-04-13,KRISTINA ŽMIEJAUSKAITĖ,,Deklaruojantysis ir sutuoktinis,Pardavimas,SAULIUS GRINKEVIČIUS,45000,"Fiziniai asmenys, registruoti Lietuvoje",2012-04-13,NEKILNOJAMAS TURTAS
Notarinė,2012-05-01,VIDA DAUGĖLIENĖ,,Deklaruojantysis ir sutuoktinis,Išsimokėtinas pirkimas,SAULIUS GRINKEVIČIUS,920000,"Fiziniai asmenys, registruoti Lietuvoje",2011-02-17,NEKILNOJAMAS TURTAS
Notarinė,,"AB ""SEB"" BANKAS",112021238,Deklaruojantysis,Paskola (gauta),KĘSTUTIS SMIRNOVAS,338288,"Juridiniai asmenys, registruoti Lietuvoje",2006-03-31,PINIGAI
Rašytinė,,UAB EVRESTA,163661838,Deklaruojantysis,Pirkimas,KLEMENSAS RIMŠELIS,32110,"Juridiniai asmenys, registruoti Lietuvoje",2012-01-26,AUTOMOBILIS MERCEDES BENZ S 320
Rašytinė,,AB SWEDBANK BANKAS,112029651,Sutuoktinis,Paskola (gauta),KĘSTUTIS SMIRNOVAS,12829,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-20,PINIGAI
Rašytinė,,"UAGDBP ""AVIVA LIETUVA""",111744827,Deklaruojantysis,Draudimas,VIDAS BIČKUS,56000,"Juridiniai asmenys, registruoti Lietuvoje",2008-11-28,GYVYBĖS DRAUDIMAS
Rašytinė,,AB ŠIAULIŲ AUTOSERVISAS,144610860,Deklaruojantysis,Išsimokėtinas pirkimas,ELIGIJUS MASIULIS,90000,"Juridiniai asmenys, registruoti Lietuvoje",2011-04-11,AUTOMOBILIO IŠPIRKIMAS
Rašytinė,,UAB FMĮ ORION SECURITES,122033915,Deklaruojantysis ir sutuoktinis,Vertybinių popierių sandoriai,ELIGIJUS MASIULIS,100000,"Juridiniai asmenys, registruoti Lietuvoje",2010-11-01,VERTYBINIAI POPIERIAI
