kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
GINTARAS    SALDŽIŪNAS,4129.00,0.0,0.0,45535.0,416419.0,10000.0,29240.71
ALVYDAS    JOKŠAS,18.00,31774.0,28000.0,0.0,35000.0,500.0,16054.00
DANGIRDAS    MIKŠYS,0.00,0.0,37000.0,0.0,0.0,0.0,0.00
LAURYNAS    OKOCKIS,766.00,0.0,3000.0,0.0,26000.0,31000.0,11976.32
LIUDVIKAS    JAKIMAVIČIUS,2967.00,0.0,10000.0,0.0,0.0,0.0,20549.71
VALENTIN    STEPANOV,0.00,0.0,193930.0,0.0,0.0,0.0,0.00
JURIJUS    SUBOTINAS,1265.00,0.0,0.0,0.0,0.0,0.0,13325.72
ANTANAS    ČEBATARIŪNAS,0.00,24000.0,210000.0,0.0,12000.0,0.0,86141.00
TATJANA    ŠČIURINA,366.00,0.0,86300.0,0.0,0.0,0.0,5094.13
GRAŽINA    KRAULIENĖ,5012.00,115000.0,333000.0,0.0,0.0,0.0,35604.53
KRISTIJONAS    KAMENECKAS,11587.00,13672.0,122808.0,0.0,5559.0,0.0,84447.86
ŽIDRŪNAS    GARŠVA,2059.00,1307406.0,215512.0,0.0,750000.0,443700.0,37123.56
NATALIJA    STOČKUVIENĖ,0.00,0.0,180000.0,0.0,5000.0,0.0,227.82
IRENA    RIČKUVIENĖ,7749.00,440666.0,230915.0,0.0,10000.0,0.0,51660.15
ARMINAS    ŠAULYS,158.00,0.0,1000.0,0.0,40000.0,0.0,13236.00
NADEŽDA    VIŠKELIENĖ,2824.00,0.0,7000.0,0.0,0.0,0.0,22491.51
SAULIUS    VAIKŠNORAS,2818.00,0.0,200000.0,0.0,0.0,0.0,23452.90
VAIDAS    ŠALAŠEVIČIUS,16781.00,732564.0,750000.0,42100.0,41799.0,10000.0,113816.14
STASYS    ŠADUIKIS,0.00,0.0,213400.0,0.0,0.0,0.0,47311.50
BENIUS    RŪTELIONIS,4814.00,0.0,73337.0,0.0,10792.0,0.0,33047.20
DONATAS    MIZARAS,4601.00,66293.0,475000.0,0.0,112000.0,0.0,31862.65
KRISTINA    MIŠKINIENĖ,8364.00,0.0,21450.0,0.0,62553.0,0.0,57904.88
ZITA    JAKUBYNIENĖ,0.00,0.0,0.0,0.0,20000.0,0.0,4972.89
ASTA    GALBUOGIENĖ,3242.00,0.0,68000.0,0.0,0.0,12400.0,26478.51
VIKTORIJA    DAILYDIENĖ,663.00,0.0,3400.0,0.0,0.0,0.0,12377.84
ARŪNAS    BACEVIČIUS,4471.00,683.0,58250.0,0.0,15835.0,15703.0,41470.16
MINDAUGAS    RIMKEVIČIUS,1.00,0.0,50000.0,0.0,0.0,0.0,5598.90
INGA    KRIŠČIŪNIENĖ,225.00,0.0,7000.0,0.0,0.0,0.0,7640.00
RAMUNĖ    ŠVILPAUSKIENĖ,0.00,0.0,9000.0,0.0,22071.0,0.0,4799.52
EGIDIJUS    ŠVĖGŽDA,2186.00,0.0,24200.0,0.0,0.0,0.0,20470.02
JADVYGA    GEČIAUSKIENĖ,1064.00,0.0,37500.0,0.0,0.0,0.0,12209.80
EMILIJA    PRIŠMONTAITĖ,0.00,0.0,300.0,0.0,0.0,0.0,4147.87
EGLĖ    KNIEČIŪNAITĖ,1992.00,0.0,2000.0,0.0,0.0,0.0,24067.62
MARIJUS    ŠIRVAITIS,0.00,0.0,0.0,0.0,0.0,0.0,1181.83
ROBERTA    KLIMAVIČIŪTĖ,161.00,0.0,0.0,0.0,0.0,0.0,6710.37
ANTANAS    MALEVIČIUS,838.00,0.0,6000.0,0.0,0.0,0.0,11455.86
JUOZAS    BAJORAS,1581.00,0.0,107000.0,0.0,0.0,0.0,23085.29
VLADAS    TUMĖNAS,0.00,0.0,10250.0,0.0,7000.0,0.0,0.00
LAURA    RUTKAUSKIENĖ,3908.00,0.0,205000.0,0.0,10000.0,0.0,29511.55
EGLĖ ERNESTA    LUMBIENĖ,0.00,0.0,240000.0,0.0,0.0,0.0,41953.00
DONATA    VAIČYTĖ-MARTINKIENĖ,5459.00,3000.0,100000.0,0.0,5674.0,0.0,39611.48
RAIMUNDAS    VAITKEVIČIUS,9662.00,22000.0,53000.0,20000.0,0.0,0.0,64413.33
TOMAS    ŠVILPAUSKAS,5044.00,0.0,93800.0,0.0,24000.0,0.0,35321.45
AIMANTAS    GEČIAUSKAS,1429.00,0.0,82000.0,0.0,0.0,0.0,14238.55
VITAS    SMILGYS,0.00,0.0,37550.0,0.0,7579.0,0.0,0.00
